"course_code","course_name","description","credits","prerequisites","department","instructors"
"CNT5106C","Computer Networks","Design, implementation, and internals of networks. Routing, congestion control, internetworking, TCP/IP, optimization, and proxy services.","3","","Computer & Information Science & Engineering","Ye Xia"
"CNT6885","Distributed Multimedia Systems","Design issues; survey of recent advances, including compression, networking, and operating system issues.","3","","Computer & Information Science & Engineering","Jonathan Kavalan"
"COP3502C","Programming Fundamentals 1","First course of a two-semester introductory sequence for those planning further study in computer science, digital arts and sciences or computer engineering. Concepts of computer science and the process of computer programming, including object-oriented programming, procedural and data abstraction and program modularity.","4","Coreq: MAC 2311.","Computer & Information Science & Engineering","Ashish Aggarwal"
"COP3503C","Programming Fundamentals 2","Second course of a two-semester introductory sequence for those planning further study in computer science, digital arts and sciences or computer engineering. Concepts of computer science and the process of computer programming, including object-oriented programming, procedural and data abstraction and program modularity.","4","Prereq: COP 3502C and MAC 2311 both with minimum grades of C.","Computer & Information Science & Engineering","Fatemeh Tavassoli"
"COP3530","Data Structures and Algorithm","Algorithm development using pseudo languages, basic program structures, program design techniques, storage and manipulation of basic data structures like arrays, stacks, queues, sorting and searching and string processing. Linked linear lists. Trees and multilinked structures.","3","Prereq: (COP 3504 or COP 3503) and COT 3100 and (MAC 2234 or MAC 2312 or MAC 2512 or MAC 3473), all with a minimum grade of C.","Computer & Information Science & Engineering","Amanpreet Kapoor"
"COP4020","Programming Language Concepts","Introduces programming language principles, including language constructs, design goals, run-time structures, implementation techniques and exposure to a wide variety of programming paradigms.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","William Anderson"
"COP4331","Object-oriented Programming","Fundamental conceptual models for programming languages illustrated with specific programming languages and application problems. Specific topics include class and object models, inheritance among classes, objects and static and dynamic systems and implementations.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","William Anderson"
"COP4533","Algorithm Abstraction and Design","Covers algorithmic concepts and their use rooted in practical application and computer science theory. Topics include algorithmic paradigms, limits of computing, and algorithm time complexity classes.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Christina Boucher"
"COP4600","Operating Systems","Design and implementation of various components of a modern operating system, including I/O programming, interrupt handling, process and resource management, computer networks and distributed systems.","3","Prereq: CDA 3101 and COP 3530; knowledge of C or C++ recommended.","Computer & Information Science & Engineering","Alexandre Gomes de Siqueira"
"COP5536","Advanced Data Structures","Development of efficient data structures used to obtain more efficient solutions to classical problems, such as those based on graph theoretical models, as well as problems that arise in application areas of contemporary interest.","3","Prereq: Undergraduate data structures.","Computer & Information Science & Engineering","Sartaj Sahni"
"COP5556","Programming Language Principles","History of programming languages, formal models for specifying languages, design goals, run-time structures, and implementation techniques, along with survey of principal programming language paradigms.","3","","Computer & Information Science & Engineering","Alin Dobra"
"COT3100","Applications of Discrete Structures","Covers the mathematics of discrete events; i.e., events that involve distinct elements, finite structures of distinct elements or finite sampled versions of continuous phenomena (such as movement).","3","Prereq: (MAC 2311 or MAC 3472) and (COP 3502C or equivalent), all with a minimum grades of C; Coreq: COP 3504 or COP 3503.","Computer & Information Science & Engineering","Peter Dobbins"
"COT4501","Numerical Analysis: a Computational Approach","Numerical integration, nonlinear equations, linear and nonlinear systems of equations, differential equations and interpolation.","3","Prereq: (COP 3504 or COP 3503) and MAS 3114.","Computer & Information Science & Engineering","Kejun Huang"
"COT5520","Computational Geometry","Design, analysis, and implementation of algorithms and date structures to solve geometric problems. Applications in graphics, robotics, computational biology, data mining, and scientific computing. Convex hulls, Voronoi diagrams, triangulations, arrangements, and range searching.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Alper Ungor"
"EGN4912","Engineering Directed Independent Research","Provides firsthand, supervised research with a faculty advisor or postdoctoral or graduate student mentor. Projects may involve inquiry, design, investigation, scholarship, discovery, or application.","0","Prereq: Department permission.","Computer & Information Science & Engineering","Peter Dobbins"
"EGN5949","Practicum/Internship/Cooperative Work Experience","Practical cooperative engineering work under approved industrial and faculty supervision.","0","Prereq: graduate student.","Computer & Information Science & Engineering","Benjamin Lok"
"EGN6913","Engineering Graduate Research","Course will provide the student with supervised research in a laboratory setting.","0","","Computer & Information Science & Engineering","Benjamin Lok"
"EEE2000","Technology and Its Impact on Society","Learn about electronic technology developments over the last 100 years and their impact on society – entertainment, politics, military, industry, etc.","3","","Electrical and Computer Engineering","Mark Law"
"EEE3308C","Electronic Circuits 1","Fundamentals of electronic circuits and systems. Laboratory.","4","Prereq: EEL 3111C with minimum grade of C.","Electrical and Computer Engineering","Hamed Dalir"
"EEE3396","Solid-State Electronic Devices","Introduces the principles of semiconductor electron device operation. Laboratory.","3","Prereq: EEL 3008.","Electrical and Computer Engineering","Ant Ural"
